Title,Slug,Year,Description,ArtistName,Genres,ImageUrl
Count Basie,count-basie,1950,"Count Basie is an album by Count Basie released in 1950.",Count Basie,Jazz,"https://d1mcd66l4tbl1o.cloudfront.net/releases/52855b37-4e23-4cc7-8170-87cadf38ad9a-count_basie.jpg"
The George Benson Cookbook,the-george-benson-cookbook,1966,"The George Benson Cookbook is an album by George Benson released in 1966.",George Benson,Jazz,"https://d1mcd66l4tbl1o.cloudfront.net/releases/0db0b018-3038-42ac-bfb4-9146a13c032b-the_george_benson_cookbook.jpg"
It's Uptown,its-uptown,1966,"It's Uptown is an album by George Benson released in 1966.",George Benson,Jazz,"https://d1mcd66l4tbl1o.cloudfront.net/releases/55ad53d9-b263-44b5-a7ae-5de94bf69737-its_uptown.jpg"
The Shape of Things to Come,the-shape-of-things-to-come,1968,"The Shape of Things to Come is an album by George Benson released in 1968.",George Benson,Jazz,"https://d1mcd66l4tbl1o.cloudfront.net/releases/ec9a400e-7a68-4c74-b438-0a4fa613d70d-the_shape_of_things_to_come.jpg"
Spanish Harlem,spanish-harlem,1960,"Spanish Harlem is an album by Ben E. King released in 1960.",Ben E. King,R&B/Soul,"https://d1mcd66l4tbl1o.cloudfront.net/releases/6bfd6ebb-a4d7-4909-b878-e675edc0588c-spanish_harlem.jpg"
Joy Ride,joy-ride,2013,"Joy Ride is an album by SEATBELTS released in 2013.",SEATBELTS,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/c212cee8-2f62-4f61-aaa6-9a4f85231299-joy_ride.jpg"
Songs For Vonnegut EP,songs-for-vonnegut-ep,2018,"Songs For Vonnegut EP is an album by SEATBELTS released in 2018.",SEATBELTS,Alternative,"https://d1mcd66l4tbl1o.cloudfront.net/releases/24fbc764-702c-40af-b0be-5dc9d25a9399-songs_for_vonnegut_ep.jpg"
The College Dropout,the-college-dropout,2004,"The College Dropout is an album by Kanye West released in 2004.",Kanye West,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/24c92ec5-762f-44fb-97c5-47ca857e356a-the_college_dropout.jpg"
Illmatic,illmatic,1994,"Illmatic is an album by Nas released in 1994.",Nas,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/73e3b8a6-f5e5-4cb5-a36c-f5894779c5fb-illmatic.jpg"
I Am...,i-am,1999,"I Am... is an album by Nas released in 1999.",Nas,R&B/Soul,"https://d1mcd66l4tbl1o.cloudfront.net/releases/0d8968be-50e3-48fc-807c-05c12cc1032e-i_am.jpg"
Nastradamus,nastradamus,1999,"Nastradamus is an album by Nas released in 1999.",Nas,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/8774a035-ce27-4619-8b60-9fcfa185513d-nastradamus.jpg"
Blue Slide Park,blue-slide-park,2011,"Blue Slide Park is an album by Mac Miller released in 2011.",Mac Miller,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/7b1b605c-95ea-40a5-a778-2267672290bd-blue_slide_park.jpg"
Watching Movies with the Sound Off,watching-movies-with-the-sound-off,2013,"Watching Movies with the Sound Off is an album by Mac Miller released in 2013.",Mac Miller,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/1ea26f42-a2e7-48a9-83b4-17073df5d767-watching_movies_with_the_sound_off.jpg"
Man On the Moon: The End of Day,man-on-the-moon-the-end-of-day,2009,"Man On the Moon: The End of Day is an album by Kid Cudi released in 2009.",Kid Cudi,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/49d125ba-1b62-4a13-964e-80e5b3ae2f11-man_on_the_moon_the_end_of_day.jpg"
Indicud,indicud,2013,"Indicud is an album by Kid Cudi released in 2013.",Kid Cudi,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/c7072bb8-0a3f-48b8-89a8-626f53bd145b-indicud.jpg"
Amerikkka's Most Wanted,amerikkkas-most-wanted,1990,"Amerikkka's Most Wanted is an album by Ice Cube released in 1990.",Ice Cube,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/c2f59ad5-2eb4-488d-ad0b-bb08558bebeb-amerikkkas_most_wanted.jpg"
The Predator,the-predator,1992,"The Predator is an album by Ice Cube released in 1992.",Ice Cube,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/e2a03e57-1182-4e7d-aa58-264818bc2c04-the_predator.jpg"
Vol.2... Hard Knock Life,vol2-hard-knock-life,1998,"Vol.2... Hard Knock Life is an album by JAŸ-Z released in 1998.",JAŸ-Z,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/55fdc621-ace9-4fac-9824-6b72193ce322-vol2_hard_knock_life.jpg"
The Dynasty - Roc La Famila 2000,the-dynasty---roc-la-famila-2000,2000,"The Dynasty - Roc La Famila 2000 is an album by JAŸ-Z released in 2000.",JAŸ-Z,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/a63ae72e-0478-49a2-887e-46af89839ffb-the_dynasty__roc_la_famila_2000.jpg"
My Name Is My Name,my-name-is-my-name,2013,"My Name Is My Name is an album by Pusha T released in 2013.",Pusha T,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/dbe41e28-5e0f-46f6-a67f-4a4c279b577a-my_name_is_my_name.jpg"
King Push – Darkest Before Dawn: The Prelude,king-push--darkest-before-dawn-the-prelude,2015,"King Push – Darkest Before Dawn: The Prelude is an album by Pusha T released in 2015.",Pusha T,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/df4824c7-a969-47ac-aee1-d1b3bc7c37ea-king_push__darkest_before_dawn_the_prelude.jpg"
DAYTONA,daytona,2018,"DAYTONA is an album by Pusha T released in 2018.",Pusha T,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/48bd2e73-5bd2-4431-81ec-efe71ebf5114-daytona.jpg"
The Lex Diamond Story,the-lex-diamond-story,2003,"The Lex Diamond Story is an album by Raekwon released in 2003.",Raekwon,R&B/Soul,"https://d1mcd66l4tbl1o.cloudfront.net/releases/b8a87d4a-c5d8-4db3-8790-02eabcf61bd1-the_lex_diamond_story.jpg"
PJ's…From Afar,pjsfrom-afar,2007,"PJ's…From Afar is an album by Raekwon released in 2007.",Raekwon,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/ce1405f3-c127-4f31-b026-6d04dbce5a6e-pjsfrom_afar.jpg"
"Only Built 4 Cuban Linx, Pt. 2",only-built-4-cuban-linx-pt-2,2009,"Only Built 4 Cuban Linx, Pt. 2 is an album by Raekwon released in 2009.",Raekwon,Pop,"https://d1mcd66l4tbl1o.cloudfront.net/releases/19199d9c-0806-48f0-8662-7af1c2e52bb3-only_built_4_cuban_linx_pt_2.jpg"
Rza Presents: Bobby Digital and the Pit of Snakes,rza-presents-bobby-digital-and-the-pit-of-snakes,1998,"Rza Presents: Bobby Digital and the Pit of Snakes is an album by RZA released in 1998.",RZA,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/a69500eb-5a7d-428d-9247-e3e1e87baa4c-rza_presents_bobby_digital_and_the_pit_of_snakes.jpg"
